input3,input4,input7,input8,input9,input13,input16
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.0453179,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.315147727,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,0.911285156,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,24.91408436,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,42.82900502
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.028782692,0.049165225,0.186692076,1.050519531,22.01115526,32.07050642
0.003255384,0.021257492,0.0224129,0.192443821,1.045285156,39.7680123,30.23650134
0.003255384,0.021257492,0.0224129,0.192443821,1.045285156,39.7680123,30.23650134
